Date,Open,High,Low,Close,Adj_Close,Volume
"Mar 18, 1980",0.33,0.33,0.32,0.32,0.18,17068800
"Mar 19, 1980",0.33,0.34,0.33,0.33,0.18,18508800
"Mar 20, 1980",0.33,0.33,0.33,0.33,0.18,11174400
"Mar 21, 1980",0.32,0.32,0.32,0.32,0.18,12172800
"Mar 24, 1980",0.32,0.32,0.31,0.31,0.17,8966400
"Mar 25, 1980",0.31,0.32,0.31,0.31,0.17,11347200
"Mar 26, 1980",0.31,0.32,0.31,0.31,0.17,16262400
"Mar 27, 1980",0.30,0.30,0.30,0.30,0.17,26918400
"Mar 28, 1980",0.31,0.32,0.31,0.31,0.17,20102400
"Mar 31, 1980",0.32,0.33,0.32,0.32,0.18,9004800
"Apr 1, 1980",0.32,0.33,0.32,0.32,0.18,8179200
"Apr 2, 1980",0.33,0.33,0.33,0.33,0.18,12556800
"Apr 3, 1980",0.32,0.32,0.32,0.32,0.18,6988800
"Apr 7, 1980",0.32,0.32,0.31,0.31,0.17,13478400
"Apr 8, 1980",0.31,0.32,0.31,0.31,0.17,29184000
"Apr 9, 1980",0.31,0.31,0.31,0.31,0.17,11558400
"Apr 10, 1980",0.31,0.31,0.30,0.30,0.17,14784000
"Apr 11, 1980",0.30,0.31,0.30,0.30,0.17,9523200
"Apr 14, 1980",0.31,0.31,0.31,0.31,0.17,8025600
"Apr 15, 1980",0.31,0.31,0.30,0.30,0.17,10598400
"Apr 16, 1980",0.30,0.30,0.29,0.29,0.16,10752000
"Apr 17, 1980",0.29,0.29,0.29,0.29,0.16,17702400
"Apr 18, 1980",0.29,0.30,0.29,0.29,0.16,18739200
"Apr 21, 1980",0.29,0.29,0.29,0.29,0.16,9043200
"Apr 22, 1980",0.30,0.31,0.30,0.30,0.17,20428800
"Apr 23, 1980",0.32,0.32,0.32,0.32,0.18,14822400
"Apr 24, 1980",0.32,0.33,0.32,0.32,0.18,8832000
"Apr 25, 1980",0.32,0.32,0.32,0.32,0.18,7104000
"Apr 28, 1980",0.32,0.32,0.31,0.31,0.17,6931200
"Apr 29, 1980",0.32,0.32,0.32,0.32,0.18,6297600
"Apr 30, 1980",0.32,0.32,0.32,0.32,0.18,7065600
"May 1, 1980",0.32,0.33,0.32,0.32,0.18,7008000
"May 2, 1980",0.33,0.33,0.33,0.33,0.18,5510400
"May 5, 1980",0.33,0.33,0.33,0.33,0.18,3513600
"May 6, 1980",0.33,0.33,0.33,0.33,0.18,6988800
"May 7, 1980",0.33,0.33,0.33,0.33,0.18,6393600
"May 8, 1980",0.33,0.33,0.32,0.32,0.18,7468800
"May 9, 1980",0.33,0.33,0.33,0.33,0.18,16684800
"May 12, 1980",0.33,0.33,0.33,0.33,0.18,8582400
"May 13, 1980",0.33,0.34,0.33,0.33,0.19,7372800
"May 14, 1980",0.34,0.34,0.34,0.34,0.19,4742400
"May 15, 1980",0.34,0.35,0.34,0.34,0.19,8102400
"May 16, 1980",0.35,0.35,0.35,0.35,0.19,4838400
"May 19, 1980",0.35,0.35,0.35,0.35,0.19,8640000
"May 20, 1980",0.35,0.35,0.34,0.34,0.19,21811200
"May 21, 1980",0.34,0.34,0.33,0.33,0.19,10540800
"May 22, 1980",0.33,0.34,0.33,0.33,0.18,5318400
"May 23, 1980",0.34,0.35,0.34,0.34,0.19,29779200
"May 27, 1980",0.34,0.35,0.34,0.34,0.19,8332800
